@relation titanic_tratado

@attribute Survived {N, S}
@attribute Pclass integer
@attribute Sex {male, female}
@attribute Age integer
@attribute SibSp integer
@attribute Parch integer
@attribute Fare integer
@attribute Cabin {S, N}
@attribute Embarked {C, Q, S}

@data
N,3,male,24,0,0,14,N,S
N,3,male,41,0,0,7,N,S
S,3,male,20,0,0,7,N,C
S,1,female,36,1,2,120,S,S
N,3,male,16,0,0,7,N,S
S,1,female,51,1,0,77,S,S
N,1,male,24,0,0,39,N,C
N,3,female,30,0,0,7,N,Q
N,3,male,24,1,0,24,N,Q
N,3,male,32,0,0,8,N,S
N,3,male,24,0,0,9,N,S
N,3,male,48,0,0,7,N,S
N,2,female,57,0,0,10,S,S
N,3,male,24,0,0,7,N,C
S,2,female,54,1,3,23,N,S
N,3,male,18,0,0,7,N,S
N,3,male,24,0,0,7,S,Q
S,3,female,5,0,0,12,N,S
N,3,male,24,0,0,7,N,Q
S,1,female,43,0,1,211,S,S
S,3,female,13,0,0,7,N,C
S,1,female,17,1,0,57,S,S
N,1,male,29,0,0,30,S,S
N,3,male,24,1,2,23,N,S
N,3,male,25,0,0,7,N,S
N,3,male,25,0,0,7,N,S
S,3,female,18,0,0,7,N,S
N,3,male,8,4,1,29,N,Q
S,3,male,1,1,2,20,N,S
N,1,male,46,0,0,79,S,C
N,3,male,24,0,0,7,N,Q
N,2,male,16,0,0,26,N,S
N,3,female,23,8,2,69,N,S
N,1,male,24,0,0,30,N,C
N,3,male,25,0,0,7,N,S
N,2,male,39,0,0,13,N,S
S,1,female,49,0,0,25,S,S
S,3,female,31,0,0,8,N,S
N,3,male,30,0,0,7,N,C
N,3,female,30,1,1,24,N,S
N,2,male,34,0,0,13,N,S
S,2,female,31,1,1,26,N,S
S,1,male,11,1,2,120,S,S
S,3,male,0,0,1,8,N,C
S,3,male,27,0,0,6,N,S
N,3,male,31,0,0,7,N,S
N,1,male,39,0,0,0,S,S
N,3,female,18,0,0,7,N,S
N,2,male,39,0,0,13,N,S
S,1,female,33,1,0,53,S,S
N,3,male,26,0,0,7,N,S
N,3,male,39,0,0,24,N,S
N,2,male,35,0,0,10,N,S
N,3,female,6,4,2,31,N,S
N,3,male,30,0,0,8,N,S
N,1,male,24,0,0,0,S,S
N,3,female,23,0,0,7,N,S
N,2,male,31,1,1,37,N,C
N,3,male,43,0,0,6,N,S
N,3,male,10,3,2,27,N,S
S,1,female,52,1,1,93,S,S
S,3,male,27,0,0,8,N,S
N,1,male,38,0,0,0,N,S
S,3,female,27,0,1,12,S,S
N,3,male,2,4,1,39,N,S
N,3,male,24,0,0,6,N,Q
N,3,male,24,0,0,56,N,S
S,2,male,1,0,2,37,N,C
S,3,male,24,0,0,7,N,Q
S,1,female,62,0,0,80,S,S
S,3,female,15,1,0,14,N,C
S,2,male,0,1,1,18,N,S
N,3,male,24,0,0,7,N,C
N,3,male,23,0,0,7,N,S
N,3,male,18,0,0,8,N,S
S,1,female,39,1,1,83,S,C
N,3,male,21,0,0,8,N,S
N,3,male,24,0,0,8,N,S
S,3,male,32,0,0,56,N,S
S,1,male,24,0,0,29,S,C
N,3,male,20,0,0,7,N,S
N,2,male,16,0,0,10,N,S
S,1,female,30,0,0,31,N,C
N,3,male,34,0,0,6,N,C
N,3,male,17,0,0,8,N,S
N,3,male,42,0,0,7,N,S
N,3,male,24,8,2,69,N,S
N,3,male,35,0,0,7,N,C
N,2,male,28,0,1,33,N,S
S,1,female,23,1,0,89,S,C
N,3,male,4,4,2,31,N,S
N,3,male,74,0,0,7,N,S
N,3,female,9,1,1,15,N,C
S,1,female,16,0,1,39,S,S
N,2,female,44,1,0,26,N,S
S,3,female,18,0,1,9,N,S
S,1,female,45,1,1,164,N,S
S,1,male,51,0,0,26,S,S
S,3,female,24,0,3,19,N,C
N,3,male,24,0,0,7,N,C
N,3,male,41,2,0,14,N,S
N,2,male,21,1,0,11,N,S
S,1,female,48,0,0,25,S,S
N,3,female,23,8,2,69,N,S
N,2,male,24,0,0,13,N,S
S,2,female,42,0,0,13,N,S
S,2,female,27,1,0,13,N,C
N,1,male,31,0,0,50,S,S
N,3,male,24,0,0,9,N,S
S,3,male,4,1,1,11,N,S
N,3,male,26,0,0,7,N,S
S,1,female,47,1,1,52,S,S
N,1,male,33,0,0,5,S,S
N,3,male,47,0,0,9,N,S
S,2,female,28,1,0,24,N,C
S,3,female,15,0,0,7,N,C
N,3,male,20,0,0,9,N,S
N,3,male,19,0,0,7,N,S
N,3,male,24,0,0,7,N,S
S,1,female,56,0,1,83,S,C
S,2,female,25,0,1,26,N,S
N,3,male,33,0,0,7,N,S
N,3,female,22,0,0,10,N,S
N,2,male,28,0,0,10,N,S
N,3,male,25,0,0,7,N,S
N,3,female,39,0,5,29,N,Q
N,2,male,27,0,0,13,N,S
S,1,female,19,0,0,30,S,S
N,3,female,23,1,2,23,N,S
S,1,male,26,0,0,30,S,C
N,3,male,32,0,0,7,N,Q
